ShotID,Time,aX,aY,aZ,gX,gY,gZ
5,42,-0.136,-0.727,-0.696,310.974,121.399,66.406
5,43,-0.098,-0.858,-0.934,372.192,138.733,102.478
5,44,-0.036,-0.842,-1.011,347.351,103.943,105.530
5,45,-0.018,-0.725,-0.917,265.930,46.509,60.425
5,46,-0.052,-0.608,-0.773,163.696,-4.089,-9.033
5,47,-0.099,-0.567,-0.692,61.157,-34.058,-63.477
5,48,-0.113,-0.538,-0.636,-56.030,-41.931,-78.796
5,49,-0.104,-0.634,-0.728,-163.208,-37.109,-62.439
5,50,-0.082,-0.776,-0.841,-239.014,-34.607,-36.316
5,51,-0.068,-0.897,-0.879,-244.690,-40.344,-26.672
5,52,-0.079,-0.840,-0.756,-157.776,-51.331,-36.072
5,53,-0.108,-0.683,-0.602,-16.968,-57.495,-44.006
5,54,-0.152,-0.650,-0.600,97.534,-43.884,-31.494
5,55,-0.182,-0.708,-0.693,128.235,-8.545,3.418
5,56,-0.179,-0.733,-0.750,86.121,29.724,43.335
5,57,-0.169,-0.764,-0.806,38.147,46.570,60.364
5,58,-0.176,-0.752,-0.812,25.085,35.583,40.710
5,59,-0.194,-0.695,-0.762,35.400,7.751,2.502
5,60,-0.210,-0.651,-0.714,33.142,-18.311,-26.184
5,61,-0.211,-0.633,-0.684,-4.395,-26.855,-30.396
5,62,-0.191,-0.682,-0.721,-61.829,-14.282,-14.404
5,63,-0.158,-0.751,-0.770,-105.042,6.409,5.249
5,64,-0.126,-0.769,-0.766,-97.534,18.738,14.160
5,65,-0.110,-0.738,-0.736,-32.349,17.578,10.132
5,66,-0.113,-0.716,-0.733,45.349,11.169,6.165
5,67,-0.115,-0.700,-0.735,77.393,11.108,13.550
5,68,-0.109,-0.685,-0.732,53.162,21.057,28.625
5,69,-0.101,-0.697,-0.759,9.460,32.593,38.879
5,70,-0.097,-0.711,-0.787,-19.409,35.339,35.400
5,71,-0.100,-0.710,-0.790,-24.902,24.719,19.226
5,72,-0.111,-0.700,-0.776,-18.311,5.737,1.892
5,73,-0.122,-0.685,-0.753,-17.212,-8.118,-5.981
5,74,-0.125,-0.680,-0.741,-27.039,-9.338,-3.723
5,75,-0.122,-0.693,-0.746,-37.537,-1.038,4.211
5,76,-0.119,-0.704,-0.758,-34.607,8.545,11.353
5,77,-0.124,-0.711,-0.772,-13.123,12.146,13.428
5,78,-0.133,-0.708,-0.777,13.489,7.629,10.864
5,79,-0.142,-0.692,-0.770,28.259,1.770,7.507
5,80,-0.149,-0.676,-0.756,24.231,-0.183,5.066
5,81,-0.152,-0.669,-0.756,8.789,1.404,3.235
5,82,-0.150,-0.675,-0.762,-6.958,2.563,0.977
5,83,-0.145,-0.688,-0.777,-14.648,0.244,-2.075
